# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
-5.980040773087721973e-02, 6.927207347524381165e-01, 8.643466314525219060e-03, 1.106382978723404076e+00, 2.000000000000000000e+00
-5.860894193598494006e-02, 6.928372309041410659e-01, 1.105558062144367665e-02, 1.106382978723404076e+00, 2.048415953273313939e+00
-5.441890089208634151e-02, 6.931946640582301589e-01, 1.324169581224320970e-02, 1.106382978723404076e+00, 2.124319414725656774e+00
-4.680287202695634918e-02, 6.937620172361904647e-01, 1.462120222842487605e-02, 1.106382978723404076e+00, 2.248378908561805556e+00
-3.501194419274182568e-02, 6.944584734930698833e-01, 1.420642139772792037e-02, 1.106382978723404076e+00, 2.437090193319866760e+00
-1.903229962155571914e-02, 6.950719433535960112e-01, 1.187121054681161865e-02, 1.106382978723404076e+00, 2.694931530939263631e+00
-3.064756188381726094e-04, 6.953191161036047507e-01, 7.998901653344981516e-03, 1.106382978723404076e+00, 3.000000000000000000e+00
1.826427704967319154e-02, 6.950669979609120919e-01, 3.436609829643404515e-03, 1.106382978723404076e+00, 3.305068469060736369e+00
3.385789259830561393e-02, 6.944745758723834816e-01, -7.777893139515868175e-04, 1.106382978723404076e+00, 3.562909806680132796e+00
4.521096706682022071e-02, 6.938248890129119495e-01, -4.038548469885584746e-03, 1.106382978723404076e+00, 3.751621091438194000e+00
5.264367396190099135e-02, 6.932998938219833152e-01, -6.265183478017955637e-03, 1.106382978723404076e+00, 3.875680585274343670e+00
5.717768168352035940e-02, 6.929409186934389897e-01, -7.662420478565329374e-03, 1.106382978723404076e+00, 3.951584046726686061e+00
5.980041128576567278e-02, 6.927207344429145985e-01, -8.643466830286583233e-03, 1.106382978723404076e+00, 4.000000000000000000e+00
5.983200139815339491e-02, 7.238915823941829419e-01, -8.465166748606582636e-03, 1.127659574468085069e+00, 0.000000000000000000e+00
5.709301368416185712e-02, 7.241171718869789942e-01, -8.547156472164800511e-03, 1.127659574468085069e+00, 4.841595327331393861e-02
5.245326108944100424e-02, 7.244735048505024366e-01, -8.407306146045555664e-03, 1.127659574468085069e+00, 1.243194147256564686e-01
4.486676232454889224e-02, 7.249900684329135814e-01, -8.122990858501627498e-03, 1.127659574468085069e+00, 2.483789085618058612e-01
3.332207734985323522e-02, 7.256194481036220001e-01, -7.564697820095389602e-03, 1.127659574468085069e+00, 4.370901933198670375e-01
1.754740104083669233e-02, 7.261752379823167569e-01, -6.564263739814913193e-03, 1.127659574468085069e+00, 6.949315309392636308e-01
-1.096836603300265986e-03, 7.263815779906992454e-01, -4.972952875063735984e-03, 1.127659574468085069e+00, 1.000000000000000000e+00
-1.967225666975552789e-02, 7.261045322282639880e-01, -2.731131690452872317e-03, 1.127659574468085069e+00, 1.305068469060736591e+00
-3.523472696762412759e-02, 7.255046180800797107e-01, 1.221466632699526387e-05, 1.127659574468085069e+00, 1.562909806680132796e+00
-4.646429352748997210e-02, 7.248659558631433963e-01, 2.743079647021302685e-03, 1.127659574468085069e+00, 1.751621091438194222e+00
-5.378330990695925212e-02, 7.243571337958956136e-01, 4.761870963694394762e-03, 1.127659574468085069e+00, 1.875680585274343448e+00
-5.810188829703593488e-02, 7.240248409900396087e-01, 6.454883491485645386e-03, 1.127659574468085069e+00, 1.951584046726686061e+00
-5.983199784064462123e-02, 7.238915826909737561e-01, 8.465166243517053407e-03, 1.127659574468085069e+00, 2.000000000000000000e+00
